M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before Mdm2Nschema : M=2077.34mb, Malloc-M=538mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: after  Mdm2Nschema : M=2077.34mb, Malloc-M=546mb, Available-M=24390mb, T=0s CPU=0.05s W=(2026-06-14 21:38:16)
STATS:: before Nschema Composite_SignalNames : M=2097.36mb, Malloc-M=546mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: after  Nschema Composite_SignalNames : M=2097.36mb, Malloc-M=546mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: before TCLCacheClear : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  TCLCacheClear : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before _nameToNet Map clear : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  _nameToNet Map clear : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before ConstantPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before UserConstantPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  UserConstantPropagation : Number of SCA: 0 M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before DynamicUserCasePropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  DynamicUserCasePropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before DesignConstantPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  DesignConstantPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before HybridSeqPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  HybridSeqPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before ReverseConstPropagationOnBiDir: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  ReverseConstPropagationOnBiDir: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  ConstantPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before populateInfoToView : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  populateInfoToView : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before QuasiStaticPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
