STATS:: before Show Data View Record:  :  M=3830.137mb, T=0s
STATS:: after Show Data View Record:  :  M=3830.137mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3831.598mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3831.598mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3831.598mb, T=0s
STATS:: after Query DB for Data View:  :  M=3833.938mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3833.938mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3833.938mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3833.938mb, T=0s
STATS:: after Query DB for Data View:  :  M=3835.590mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3836.074mb, T=0s
STATS:: after Show Data View Record:  :  M=3836.074mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3839.340mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3839.340mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3839.340mb, T=0s
STATS:: after Query DB for Data View:  :  M=3839.824mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3839.824mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3839.824mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3839.824mb, T=0s
STATS:: after Query DB for Data View:  :  M=3840.551mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3840.672mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3840.672mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3840.672mb, T=0s
STATS:: after Query DB for Data View:  :  M=3841.277mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3841.641mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3841.641mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3841.641mb, T=0s
STATS:: after Query DB for Data View:  :  M=3842.125mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3842.973mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3842.973mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3842.973mb, T=0s
STATS:: after Query DB for Data View:  :  M=3844.223mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3844.586mb, T=0s
STATS:: after Show Data View Record:  :  M=3844.586mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3850.766mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3850.766mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3850.766mb, T=0s
STATS:: after Query DB for Data View:  :  M=3851.250mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3851.250mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3851.250mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3851.250mb, T=0s
STATS:: after Query DB for Data View:  :  M=3852.219mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3852.703mb, T=0s
STATS:: after Show Data View Record:  :  M=3852.703mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3853.551mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3853.551mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3853.551mb, T=0s
STATS:: after Query DB for Data View:  :  M=3854.398mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3854.398mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3854.398mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3854.398mb, T=0s
STATS:: after Query DB for Data View:  :  M=3856.535mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3856.656mb, T=0s
STATS:: after Show Data View Record:  :  M=3856.656mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3860.406mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3860.406mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3860.406mb, T=0s
STATS:: after Query DB for Data View:  :  M=3861.777mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3861.777mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3861.777mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3861.777mb, T=0s
STATS:: after Query DB for Data View:  :  M=3863.633mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3864.117mb, T=0s
STATS:: after Show Data View Record:  :  M=3864.117mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3869.344mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3869.344mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3869.344mb, T=0s
STATS:: after Query DB for Data View:  :  M=3869.828mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3869.828mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3869.828mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3869.828mb, T=0s
STATS:: after Query DB for Data View:  :  M=3870.797mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3871.281mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3871.281mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3871.281mb, T=0s
STATS:: after Query DB for Data View:  :  M=3872.008mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3872.977mb, T=0s
STATS:: after Show Data View Record:  :  M=3872.977mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3876.867mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3876.867mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3876.867mb, T=0s
STATS:: after Query DB for Data View:  :  M=3877.352mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3877.352mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3877.352mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3877.352mb, T=0s
STATS:: after Query DB for Data View:  :  M=3878.199mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3878.926mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3878.926mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3878.926mb, T=0s
STATS:: after Query DB for Data View:  :  M=3878.926mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3879.652mb, T=0s
STATS:: after Show Data View Record:  :  M=3879.652mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3883.359mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3883.359mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3883.359mb, T=0s
STATS:: after Query DB for Data View:  :  M=3883.723mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3883.723mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3883.723mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3883.723mb, T=0s
STATS:: after Query DB for Data View:  :  M=3884.449mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3887.113mb, T=0s
STATS:: after Show Data View Record:  :  M=3887.113mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3888.207mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3888.207mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3888.207mb, T=0s
STATS:: after Query DB for Data View:  :  M=3888.934mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3888.934mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3888.934mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3888.934mb, T=0s
STATS:: after Query DB for Data View:  :  M=3889.660mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3889.902mb, T=0s
STATS:: after Show Data View Record:  :  M=3889.902mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3895.020mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3895.020mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3895.020mb, T=0s
STATS:: after Query DB for Data View:  :  M=3895.746mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3895.746mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3895.746mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3895.746mb, T=0s
STATS:: after Query DB for Data View:  :  M=3898.488mb, T=1.000s
STATS:: before Show Data View Record:  :  M=3898.609mb, T=0s
STATS:: after Show Data View Record:  :  M=3898.609mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3900.203mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3900.203mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3900.203mb, T=0s
STATS:: after Query DB for Data View:  :  M=3901.293mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3901.293mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3901.293mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3901.293mb, T=0s
STATS:: after Query DB for Data View:  :  M=3902.141mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3902.625mb, T=0s
STATS:: after Show Data View Record:  :  M=3902.625mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3907.227mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3907.227mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3907.227mb, T=0s
STATS:: after Query DB for Data View:  :  M=3914.309mb, T=1.000s
STATS:: before Show Data View Record:  :  M=3914.914mb, T=0s
STATS:: after Show Data View Record:  :  M=3914.914mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3916.125mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3916.125mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3916.125mb, T=0s
