

### analyze	Num_calls 1	Total_time 1.50264	Total_CpuTime 0.31	Total malloc-M 2
1	File:run_lint.tcl::20	Time:1.50264	CpuTime:0.31	 Malloc-MB:2
24	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::131	Time:0.004142	CpuTime:0.01	 Malloc-MB:0
25	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::158	Time:0.004092	CpuTime:0.00	 Malloc-MB:0
26	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::126	Time:0.004076	CpuTime:0.00	 Malloc-MB:0
27	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::174	Time:0.004035	CpuTime:0.00	 Malloc-MB:0
28	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::182	Time:0.003963	CpuTime:0.00	 Malloc-MB:0
29	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::173	Time:0.003953	CpuTime:0.01	 Malloc-MB:0
30	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::31	Time:0.003843	CpuTime:0.01	 Malloc-MB:0
31	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::30	Time:0.00379	CpuTime:0.00	 Malloc-MB:0

### configure_reset_propagation	Num_calls 2	Total_time 0.000492	Total_CpuTime 0	Total malloc-M 0

### configure_sgbuiltin_load	Num_calls 2	Total_time 0.860275	Total_CpuTime 0.66	Total malloc-M 6
1	File:run_lint.tcl::11	Time:0.860221	CpuTime:0.66	 Malloc-MB:6

### configure_tag	Num_calls 153	Total_time 1.31963	Total_CpuTime 1.27	Total malloc-M 17
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.037612	CpuTime:0.03	 Malloc-MB:5
2	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::3	Time:0.024978	CpuTime:0.03	 Malloc-MB:5
3	File:run_lint.tcl::11	Time:0.01884	CpuTime:0.01	 Malloc-MB:4
4	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::98	Time:0.0118	CpuTime:0.01	 Malloc-MB:0
5	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::111	Time:0.011463	CpuTime:0.02	 Malloc-MB:0
6	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::107	Time:0.011087	CpuTime:0.01	 Malloc-MB:0
7	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::89	Time:0.010825	CpuTime:0.01	 Malloc-MB:0
8	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::92	Time:0.010802	CpuTime:0.01	 Malloc-MB:0
9	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::34	Time:0.010728	CpuTime:0.01	 Malloc-MB:0
10	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::93	Time:0.010505	CpuTime:0.01	 Malloc-MB:0
11	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::100	Time:0.010397	CpuTime:0.01	 Malloc-MB:0
12	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::74	Time:0.010377	CpuTime:0.01	 Malloc-MB:0
13	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::108	Time:0.010242	CpuTime:0.01	 Malloc-MB:0
14	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::69	Time:0.01022	CpuTime:0.01	 Malloc-MB:0
15	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::44	Time:0.010166	CpuTime:0.01	 Malloc-MB:0
16	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::70	Time:0.010116	CpuTime:0.01	 Malloc-MB:0
17	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::116	Time:0.010079	CpuTime:0.01	 Malloc-MB:0
18	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::94	Time:0.009961	CpuTime:0.01	 Malloc-MB:0
19	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::104	Time:0.009897	CpuTime:0.01	 Malloc-MB:0
20	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::99	Time:0.009876	CpuTime:0.01	 Malloc-MB:0
21	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::102	Time:0.009848	CpuTime:0.01	 Malloc-MB:0
22	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::66	Time:0.009813	CpuTime:0.01	 Malloc-MB:0
23	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::83	Time:0.009776	CpuTime:0.01	 Malloc-MB:0
24	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::103	Time:0.009766	CpuTime:0.01	 Malloc-MB:0
25	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::72	Time:0.009671	CpuTime:0.01	 Malloc-MB:0
26	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::90	Time:0.009604	CpuTime:0.00	 Malloc-MB:0
27	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::109	Time:0.009539	CpuTime:0.01	 Malloc-MB:0
28	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::65	Time:0.009537	CpuTime:0.01	 Malloc-MB:0
29	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::45	Time:0.009529	CpuTime:0.01	 Malloc-MB:0
30	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::47	Time:0.009372	CpuTime:0.01	 Malloc-MB:0
31	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::67	Time:0.009351	CpuTime:0.01	 Malloc-MB:0
32	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::46	Time:0.009265	CpuTime:0.01	 Malloc-MB:0
33	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::81	Time:0.009185	CpuTime:0.01	 Malloc-MB:0
34	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::68	Time:0.009116	CpuTime:0.01	 Malloc-MB:0
35	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::101	Time:0.008933	CpuTime:0.01	 Malloc-MB:0
