

### analyze	Num_calls 1	Total_time 0.390147	Total_CpuTime 0.28	Total malloc-M 2
1	File:run_lint.tcl::20	Time:0.390147	CpuTime:0.28	 Malloc-MB:2
24	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::135	Time:0.003861	CpuTime:0.00	 Malloc-MB:0
25	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::75	Time:0.003834	CpuTime:0.00	 Malloc-MB:0
26	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::176	Time:0.00377	CpuTime:0.00	 Malloc-MB:0
27	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::180	Time:0.003754	CpuTime:0.00	 Malloc-MB:0
28	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::134	Time:0.003678	CpuTime:0.00	 Malloc-MB:0
29	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::177	Time:0.003661	CpuTime:0.01	 Malloc-MB:0
30	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::178	Time:0.003493	CpuTime:0.00	 Malloc-MB:0
31	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::179	Time:0.003445	CpuTime:0.00	 Malloc-MB:0

### configure_reset_propagation	Num_calls 2	Total_time 0.000505	Total_CpuTime 0	Total malloc-M 0

### configure_sgbuiltin_load	Num_calls 2	Total_time 0.819965	Total_CpuTime 0.67	Total malloc-M 6
1	File:run_lint.tcl::11	Time:0.819918	CpuTime:0.67	 Malloc-MB:6

### configure_tag	Num_calls 153	Total_time 1.27986	Total_CpuTime 1.31	Total malloc-M 18
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.032564	CpuTime:0.04	 Malloc-MB:6
2	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::3	Time:0.026129	CpuTime:0.03	 Malloc-MB:5
3	File:run_lint.tcl::11	Time:0.019566	CpuTime:0.02	 Malloc-MB:4
4	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::92	Time:0.010913	CpuTime:0.01	 Malloc-MB:0
5	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::34	Time:0.010801	CpuTime:0.02	 Malloc-MB:-1
6	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::72	Time:0.009541	CpuTime:0.01	 Malloc-MB:0
7	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::4	Time:0.009042	CpuTime:0.01	 Malloc-MB:0
8	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::94	Time:0.009033	CpuTime:0.01	 Malloc-MB:0
9	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::5	Time:0.009021	CpuTime:0.01	 Malloc-MB:0
10	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::163	Time:0.008875	CpuTime:0.00	 Malloc-MB:0
11	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::18	Time:0.008822	CpuTime:0.01	 Malloc-MB:0
12	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::12	Time:0.008817	CpuTime:0.01	 Malloc-MB:0
13	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::22	Time:0.008808	CpuTime:0.01	 Malloc-MB:0
14	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::21	Time:0.008796	CpuTime:0.01	 Malloc-MB:0
15	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::56	Time:0.008785	CpuTime:0.01	 Malloc-MB:0
16	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::32	Time:0.008753	CpuTime:0.01	 Malloc-MB:0
17	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::128	Time:0.008739	CpuTime:0.01	 Malloc-MB:0
18	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::16	Time:0.008677	CpuTime:0.01	 Malloc-MB:0
19	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::165	Time:0.008655	CpuTime:0.01	 Malloc-MB:0
20	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::77	Time:0.008635	CpuTime:0.01	 Malloc-MB:0
21	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::62	Time:0.008627	CpuTime:0.01	 Malloc-MB:0
22	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::93	Time:0.008597	CpuTime:0.01	 Malloc-MB:0
23	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::127	Time:0.008581	CpuTime:0.01	 Malloc-MB:0
24	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::55	Time:0.008549	CpuTime:0.01	 Malloc-MB:0
25	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::96	Time:0.008548	CpuTime:0.01	 Malloc-MB:0
26	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::53	Time:0.008518	CpuTime:0.01	 Malloc-MB:0
27	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::166	Time:0.008513	CpuTime:0.01	 Malloc-MB:0
28	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::17	Time:0.008473	CpuTime:0.01	 Malloc-MB:0
29	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::39	Time:0.008448	CpuTime:0.01	 Malloc-MB:0
30	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::159	Time:0.008423	CpuTime:0.01	 Malloc-MB:0
31	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::29	Time:0.008421	CpuTime:0.01	 Malloc-MB:0
32	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::8	Time:0.008413	CpuTime:0.00	 Malloc-MB:0
33	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::136	Time:0.008412	CpuTime:0.01	 Malloc-MB:0
34	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::54	Time:0.008359	CpuTime:0.01	 Malloc-MB:0
35	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::35	Time:0.008357	CpuTime:0.00	 Malloc-MB:0
36	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::122	Time:0.008354	CpuTime:0.01	 Malloc-MB:0
37	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::60	Time:0.008348	CpuTime:0.01	 Malloc-MB:0
38	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::169	Time:0.008343	CpuTime:0.00	 Malloc-MB:0
